subj,is.analysis.group,roi,model,y,param,coef,beta,partr
107321,TRUE,anat_aud,tdi,r,target,0.00427364363472316,0.0358678443134128,0.0347593821818975
107321,TRUE,anat_aud,tdi,r,distractor,-0.00615377931728484,-0.0516474505965158,-0.0500189097249521
107321,TRUE,anat_aud,tdi,r,incongruency,-0.00465746051117409,-0.0486165081558626,-0.0485697101783961
115825,FALSE,anat_aud,tdi,r,target,-0.00331386483807216,-0.0416737113347975,-0.0404144702977067
115825,FALSE,anat_aud,tdi,r,distractor,0.00452737606456425,0.0569342964900396,0.0551749019915461
115825,FALSE,anat_aud,tdi,r,incongruency,0.00345126449539268,0.0539800449885764,0.0539628626685147
123117,TRUE,anat_aud,tdi,r,target,0.000474202858456441,0.00719155283188917,0.00713139516564925
123117,TRUE,anat_aud,tdi,r,distractor,-0.00173527290192106,-0.0263163887129059,-0.0260880324351258
123117,TRUE,anat_aud,tdi,r,incongruency,-0.0118880291265767,-0.224231167689795,-0.223558362113696
130114,TRUE,anat_aud,tdi,r,target,0.0130824345636734,0.0535028466367621,0.0525778933567295
130114,TRUE,anat_aud,tdi,r,distractor,0.0134742828955975,0.055105377198316,0.05414816900838
130114,TRUE,anat_aud,tdi,r,incongruency,0.0360202919095371,0.183215898452047,0.182840498197046
130518,FALSE,anat_aud,tdi,r,target,-0.00147338921866829,-0.0104993788769709,-0.0104643378569415
130518,FALSE,anat_aud,tdi,r,distractor,-0.0129734607309678,-0.0924489454884485,-0.0917567282558349
130518,FALSE,anat_aud,tdi,r,incongruency,-0.0263503464030103,-0.233539345803945,-0.233467505006737
132017,TRUE,anat_aud,tdi,r,target,0.0154999521672026,0.122909628521319,0.120801728757143
132017,TRUE,anat_aud,tdi,r,distractor,-0.00427593963428443,-0.0339068241217869,-0.033552273691118
132017,TRUE,anat_aud,tdi,r,incongruency,-0.0169246900027785,-0.166918272434326,-0.168046031315931
138837,TRUE,anat_aud,tdi,r,target,0.0178126911693935,0.284380998003614,0.280600310830172
138837,TRUE,anat_aud,tdi,r,distractor,0.00124806911526637,0.0199255203608345,0.0204792586304065
138837,TRUE,anat_aud,tdi,r,incongruency,0.0106422643097418,0.211316148623544,0.218653104470559
141422,TRUE,anat_aud,tdi,r,target,0.00522446716478841,0.0589145212773881,0.0570906862130865
141422,TRUE,anat_aud,tdi,r,distractor,-0.00480027626527262,-0.0541310662403565,-0.0524686371974922
141422,TRUE,anat_aud,tdi,r,incongruency,-0.00234879708284314,-0.0329422651298196,-0.0329635911420394
150423,TRUE,anat_aud,tdi,r,target,0.00841199970612969,0.11971883845504,0.118031207841024
150423,TRUE,anat_aud,tdi,r,distractor,-0.000160249036726754,-0.0022806501676984,-0.00226432282590924
150423,TRUE,anat_aud,tdi,r,incongruency,0.0114198708825936,0.202139901457586,0.20271519049406
158136,TRUE,anat_aud,tdi,r,target,0.0056815194608704,0.0725157426490785,0.0705199730494532
158136,TRUE,anat_aud,tdi,r,distractor,-0.00677854287645445,-0.0865175371043063,-0.0840479613273126
158136,TRUE,anat_aud,tdi,r,incongruency,0.00269920672863817,0.0428480989838495,0.0430483503599051
160830,TRUE,anat_aud,tdi,r,target,-0.0151493229405622,-0.0723428001113767,-0.0709531599825624
